"doc_name","how many participants were in the experiment?","how many participants were in the experiment?_context","in what location, country or state was this research performed, where it took place?","in what location, country or state was this research performed, where it took place?_context"
"10.1016_2Fs8755-7223_2895_2980073-5.pdf","213","""Two hundred and thirteen packets contained usable data for one or more of the research instruments for a response rate of 52 per cent."""","United States","""The 1991 listing of 545 National League for Nurs-ing (NLN) accredited baccalaureate degree programs in nursing in the United States published by the NLN was used to generate a mailing list of the institutions selected for the study."""
"10.1017_2FS1463423621000050.pdf","61","""HVs (n= 39) and CMs (n= 22) work-ing in four NHS Trusts and one community partnership in England completed an anonymous, online survey with open-ended questions about their experiences of asking eligible patients to take part in the research."""","England","""HVs (n= 39) and CMs (n= 22) working in four NHS Trusts and one community partnership in England completed an anonymous, online survey"""
"10.1046_2Fj.1365-2354.1997.00034.x.pdf","None","""Seventeen contact persons were approached by letter, asking them to distribute the questionnaire in BMT units in their country."""","Europe","""Although the response rate was small, probably due to the way the study was designed to reach BMT nurses throughout Europe"""
"10.1046_2Fj.1365-2524.2002.00373.x.pdf","16","""In line with methodological recommendations (Morgan & Krueger 1997), a focus group comprising six CMHNs from one generic community mental health team was assembled. ... Ten interviews were conducted with generic CMHNs comprising six 'G' grade and four 'E' grade nurses"""","UK","""Paul Crawford1 RMN DPSN BA(Hons) PhD, Brian Brown2 BSc(Hons) PhD, Paul Anthony3 RMN MSc and Carolyn Hicks4 BA MA PhD CPsychol 1School of Nursing, Queens Medical Centre, University of Nottingham, Nottingham, UK"""
"10.1046_2Fj.1365-2524.2002.00377.x.pdf","426","""a total of 40% (n = 426) responded after two follow-up letters. Fifty-five respondents who volunteered for further participation were interviewed, either individually or in focus groups."""","England","""The present research was confined to a target population of 1054 practice nurses registered with five health authorities: (1) East London and City; (2) Redbridge and Waltham Forest; (3) Barking and Havering; (4) North Essex; and (5) South Essex. This target population may not be representative of the overall theoretical population of practice nurses employed in England and the UK."""
"10.1046_2Fj.1365-2648.1995.21010154.x.pdf","None","""The research message must be encoded m language which IS appropnate to the intended users Many research find-ings are reported in language which has been inappropri-ately selected for the target audience As much nursmg research (Yorkshire Health 1991) is conducted as part of academic courses, nurse researchers might do well to con-sider reporting their findings m academic language for their academic supervisors and additionally m practical language for consumption by climcal practitioners"""","Not specified","""The research message must be encoded m language which IS appropnate to the intended users Many research find-ings are reported in language which has been inappropri-ately selected for the target audience As much nursmg research (Yorkshire Health 1991) is conducted as part of academic courses, nurse researchers might do well to con-sider reporting their findings m academic language for their academic supervisors and additionally m practical language for consumption by climcal practitioners"""
"10.1046_2Fj.1365-2648.1997.t01-23-00999.x.pdf","None","""A Likert-style questionnaire was designed to measure stud-ents’ attitudes towards research. Statements within the questionnaire were based on key themes from the literature and focused on: (a) feelings about research, e.g. confidence, enthusiasm, level of anxiety; (b) interest in, and awareness of, research;"""","UK","""Education is clearly a key issue which Project 2000 pro-grammes (UKCC 1986) and the inclusion of research into post-registration programmes do not appear to be address-ing."""
"10.1046_2Fj.1365-2648.1998.00614.x.pdf","237","""A survey was conducted to describe registered nurses’ (n=237), perceptions of the barriers to and the facilitators of research utilization at two hospitals in Sweden."""","Sweden","""A survey was conducted to describe registered nurses’ (n=237), perceptions of the barriers to and the facilitators of research utilization at two hospitals in Sweden."""
"10.1046_2Fj.1365-2648.2000.01255.x.pdf","363","""The sample consisted of ®ve groups. ... 2-year, general nursing programme (n = 97) ... 3-year, general nursing programme (n = 43) ... 3-year, research orientated, general nursing programme (n = 26). ... All the nursing administrators (n = 41) at two major teaching hospitals in Stockholm were eligible and of these, 33 (81%) (31 females, 2 males) participated. ... Teachers (n = 37)... Physicians (n = 127)"""","Sweden","""All the nursing administrators (n = 41) at two major teaching hospitals in Stockholm"""
"10.1046_2Fj.1365-2648.2000.01256.x.pdf","1368","""Two thousand six hundred ques-tionnaires were distributed to potential participants ... One thousand three hundred and sixty-eight completed"""","Northern Ireland","""This survey has uncovered a number of key barriers to, and facilitators of, research utilization among hospital nurses in Northern Ireland."""
"10.1046_2Fj.1365-2648.2000.01315.x.pdf","400","""The ®nal sample consisted of 400 (50% of total popula-tion)"""","Australia","""The setting for this study was a 310-bed major teaching hospital offering specialist services in Melbourne, Australia."""
"10.1046_2Fj.1365-2648.2001.01899.x.pdf","None","""This study has an exploratory and descriptive design. It is part of a larger study of Scandinavian nursing theorists’ and clinical nurses’ reflections and experience with the production and use of research theory and findings."""","Not specified","""This study has an exploratory and descriptive design. It is part of a larger study of Scandinavian nursing theorists’ and clinical nurses’ reflections and experience with the production and use of research theory and findings."""
"10.1046_2Fj.1365-2702.2002.00587.x.pdf","253","""The BARRIERS Scale was administered to 316 nurses in two major hospitals; 253 nurses returned the questionnaire, giving a response rate of 80%."""","Finland","""The purpose of this study was to identify and describe barriers to and facilitators of research utilization from the point of view of Finnish Registered Nurses."""
"10.1046_2Fj.1365-2702.2003.00708.x.pdf","79","""Table 1 presents the questions for which statistically significant differences in data were seen between the study and reference groups. ... Study group (%) (n ¼ 37) Reference group (%) (n ¼ 42)"""","Denmark","""from the point of view of Danish Registered Nurses working at somatic hospitals in Denmark."""
"10.1046_2Fj.1365-2702.2003.00756.x.pdf","400","""A total of 400 questionnaires were returned (135 from health centres, 132 from the central hospital and 133 from the central university hospital), giving a response rate of 67%."""","Finland","""The measurement of obstacles to the utilization of research results was based on the Barriers scale, originally developed in the US in the 1980s and subsequently modified by Funk et al. (1991). The instrument has been used in several countries, including the US (Funk et al., 1995; Carrol et al., 1997), Great Britain (Dunn et al., 1998), Sweden (Nilsson Kajermo et al., 1998), Northern Ireland (Parahoo & McCaughan, 2001) and Finland (Oranta et al., 2002)."""
"10.1046_2Fj.1365-2834.1999.00135.x.pdf","None","""The overall aim of the study was therefore to facilitate the development of evidence-based practice within a large hospital and to explore a range of factors relevant to achieving change in practice."""","UK","""K. GERRISH b nurs, msc, phd, rgn, rm, dn cert1, J. CLAYTON ba, msc, rgn2, M. NOLAN bed, ma, msc, phd, rgn, rmn3, K. PARKER rgn, rcnt4 and L. MORGAN rgn5 *1Senior Research Fellow in Nursing and 2Research Fellow in Nursing, SheBeld Hallam University, SheBeld, 3Noreen Edwards Chair of Gerontological Nursing, University of Wales, Bangor, 4Clinical Nurse Specialist, Skin Care, and 5StaC Nurse, Elderly and Medical Care Directorate, Northern General Hospital NHS Trust, SheBeld, UK*"""
"10.1046_2Fj.1440-0979.2002.00226.x.pdf","None","""In terms of what content should be increased in the program, four participants suggested research, one partic-ipant suggested database searching, clinical supervision and critical appraisal skills. Two participants believed the content on leadership should be reduced and one indicated research should be reduced."""","Australia","""Three of the four units were from metropolitan Melbourne, and included an inpatient statewide Child and Family Service, the Child and Adolescent Mental Health Services of one Area Mental Health Service (including inpatient and community programs), and one Area Mental Health Service (comprising inpatient, community care, continuing care, mobile support and treatment, and crisis assessment and treatment). The remaining unit was the community aged care team from regional Victoria."""
"10.1046_2Fj.1471-6712.2003.00124.x.pdf","79","""Table 2 Barriers identified by a group of Danish clinical nurses, expressed in rank order (n ¼ 79)"""","Denmark","""How are the viewpoints of research-active clinical nurses different from non research-active clinical nurses regarding the acquisition of research knowledge? (i) What are the most obvious barriers experienced by a group of Danish clinical nurses in research utilization?"""
